,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
169,yogendra,"[28.1287134, 81.5893535]",Banke,sw,,bk-sw-17_1,,,15,6.0,1.75,4.1,,2021-04-26,,bk-sw-17_1,Apr
170,yogendra,"[28.146524, 81.5519813]",Banke,sw,,bk-sw-18_1,,,27,6.0,1.7,4.03,,2021-04-26,,bk-sw-18_1,Apr
171,yogendra,"[28.0512932, 81.6024374]",Banke,dt,bk-dw-05,,,,27,7.0,2.2,4.53,,2021-04-30,,bk-dw-05,Apr
172,yogendra,"[28.1114846, 81.521617]",Banke,sw,,bk-sw-19_1,,,23,8.0,1.95,5.82,,2021-04-30,,bk-sw-19_1,Apr
173,yogendra,"[28.1223559, 81.5165505]",Banke,dt,bk-dw-03,,,,42,13.0,1.35,11.23,,2021-04-30,,bk-dw-03,Apr
174,yogendra,"[28.1132901, 81.5172898]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.35,11.16,,2021-04-30,,bk-dw-04_1,Apr
175,yogendra,"[28.096096, 81.5211544]",Banke,dt,bk-dw-02,,,,25,15.0,3.45,11.3,,2021-04-30,,bk-dw-02,Apr
176,yogendra,"[28.0817476, 81.546588]",Banke,dt,bk-dw-01,,,,37,13.0,1.5,11.13,,2021-04-30,,bk-dw-01,Apr
177,yogendra,"[28.0812129, 81.6451034]",Banke,sw,,bk-sw-24_1,,,54,6.0,1.15,4.31,,2021-05-04,,bk-sw-24_1,May
178,yogendra,"[28.0928844, 81.6478464]",Banke,sw,,bk-sw-07_1,,,15,5.4,0.5,4.75,,2021-05-04,,bk-sw-07_1,May
179,yogendra,"[28.1317866, 81.6587726]",Banke,sw,,bk-sw-06_1,,,45,5.0,1.96,2.59,,2021-05-04,,bk-sw-06_1,May
180,yogendra,"[28.1960893, 81.7117338]",Banke,sw,,bk-sw-01,,,20,5.0,1.14,3.66,,2021-05-04,,bk-sw-01,May
181,yogendra,"[28.206479, 81.6307385]",Banke,sw,,bk-sw-03,,,40,9.0,1.25,7.35,,2021-05-04,,bk-sw-03,May
182,yogendra,"[28.192094, 81.5747806]",Banke,sw,,bk-sw-05_1,,,29,5.0,1.55,3.16,,2021-05-04,,bk-sw-05_1,May
183,yogendra,"[28.1873611, 81.6300829]",Banke,sw,,bk-sw-04,,,65,5.0,1.67,2.68,,2021-05-04,,bk-sw-04,May
184,Anita,"[28.0852283, 81.5164006]",Bardiya,dt,,,,,25,12.0,1.6,10.15,bd-dw-01,2021-04-11,,,Apr
185,Anita,"[28.0828898, 81.5111103]",Bardiya,dt,,,,,24,14.0,1.8,11.96,bd-dw-04,2021-05-02,,,May
186,Anita,"[28.0883799, 81.5027349]",Bardiya,dt,,,,,20,16.0,1.6,14.2,bd-dw-03,2021-05-02,,,May
187,Anita,"[28.1055615, 81.4827864]",Bardiya,dt,,,,,10,14.0,1.5,12.4,bd-dw-02,2021-05-02,,,May
188,Anita,"[28.1486882, 81.4968085]",Bardiya,sw,,,,,40,7.0,1.9,4.7,,2021-05-03,bd-sw-18,,May
189,Anita,"[28.1463616, 81.4791081]",Bardiya,sw,,,,,30,8.0,1.7,6,,2021-05-03,bd-sw-19,,May
190,Anita,"[28.1655666, 81.5009192]",Bardiya,sw,,,,,70,7.0,1.7,4.6,,2021-05-03,bd-sw-20,,May
191,Anita,"[28.1880204, 81.4800895]",Bardiya,sw,,,,,40,6.0,1.0,4.6,,2021-05-03,bd-sw-03,,May
192,Anita,"[28.1896655, 81.3835948]",Bardiya,sw,,,,,30,7.0,1.8,4.9,,2021-05-03,bd-sw-05,,May
193,Anita,"[28.1691666, 81.3378431]",Bardiya,sw,,,,,40,8.0,1.0,6.6,,2021-05-03,bd-sw-06,,May
194,Anita,"[28.247389, 81.307814]",Bardiya,sw,,,,,50,7.0,1.0,5.5,,2021-05-03,bd-sw-09,,May
195,Anita,"[28.2797085, 81.2629711]",Bardiya,sw,,,,,40,14.0,1.8,11.8,,2021-05-03,bd-sw-12,,May
196,Anita,"[28.3287711, 81.2715109]",Bardiya,sw,,,,,10,5.0,1.0,3.9,,2021-05-03,bd-sw-13,,May
197,Anita,"[28.0732362, 81.5542298]",Bardiya,sw,,,,,55,5.0,1.8,2.65,,2021-05-11,bd-sw-15,,May
198,Anita,"[28.0730391, 81.5543626]",Bardiya,sw,,,,,10,4.0,1.0,2.9,,2021-05-11,bd-sw-14,,May
199,Anita,"[28.0726661, 81.5550289]",Bardiya,sw,,,,,60,6.0,1.0,4.4,,2021-05-11,bd-sw-16,,May
200,Anita,"[28.2363039, 81.5474052]",Bardiya,sw,,,,,0,4.0,1.4,2.6,,2021-05-12,bd-sw-02,,May
201,Anita,"[28.2490759, 81.5850066]",Bardiya,sw,,,,,40,8.0,1.8,5.8,,2021-05-12,bd-sw-21,,May
202,Anita,"[28.2272298, 81.5711189]",Bardiya,sw,,,,,10,8.0,1.5,6.4,,2021-05-12,bd-sw-22,,May
203,Anita,"[28.2897791, 81.4420663]",Bardiya,sw,,,,,32,5.0,1.0,3.68,,2021-05-12,bd-sw-04,,May
204,Anita,"[28.351191, 81.4297489]",Bardiya,sw,,,,,40,6.0,1.8,3.8,,2021-05-12,bd-sw-08,,May
205,Añita,"[28.3061841, 81.3597472]",Bardiya,sw,,,,,45,6.0,1.0,4.55,,2021-05-12,bd-sw-07,,May
206,Àñità,"[28.3056538, 81.3593227]",Bardiya,sw,,,,,60,5.0,1.0,3.4,,2021-05-12,bd-sw-10,,May
207,Anita,"[28.3065034, 81.3591938]",Bardiya,sw,,,,,75,6.0,1.7,3.55,,2021-05-12,bd-sw-11,,May
208,yogendra,"[28.0242824, 81.6002927]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.5,5,,2021-05-28,,bk-sw-11_1,May
209,yogendra,"[28.0151196, 81.6543402]",Banke,sw,,bk-sw-09_1,,,60,5.0,1.74,2.66,,2021-05-28,,bk-sw-09_1,May
210,yogendra,"[28.0020503, 81.6523608]",Banke,sw,,bk-sw-29,,,40,7.0,2.0,4.6,,2021-05-28,,bk-sw-29,May
211,yogendra,"[28.049366, 81.6617059]",Banke,sw,,bk-sw-08_1,,,36,8.0,1.4,6.24,,2021-05-30,,bk-sw-08_1,May
212,yogendra,"[28.0285084, 81.6947302]",Banke,sw,,bk-sw-30,,,55,6.0,1.1,4.35,,2021-05-30,,bk-sw-30,May
213,yogendra,"[27.9833037, 81.7134115]",Banke,sw,,bk-sw-10_1,,,70,5.0,1.38,2.92,,2021-05-30,,bk-sw-10_1,May
214,yogendra,"[28.078065, 81.5932423]",Banke,sw,,bk-sw-26,,,25,5.0,1.65,3.1,,2021-05-31,,bk-sw-26,May
215,yogendra,"[28.0830268, 81.5956128]",Banke,sw,,bk-sw-27,,,40,5.25,0.5,4.35,,2021-05-31,,bk-sw-27,May
216,yogendra,"[28.1060616, 81.5971125]",Banke,sw,,bk-sw-25_1,,,35,4.25,0.5,3.4,,2021-05-31,,bk-sw-25_1,May
217,yogendra,"[28.1287363, 81.5894038]",Banke,sw,,bk-sw-17_1,,,15,6.0,1.78,4.07,,2021-05-31,,bk-sw-17_1,May
218,yogendra,"[28.146539, 81.5520658]",Banke,sw,,bk-sw-18_1,,,27,6.0,2.0,3.73,,2021-05-31,,bk-sw-18_1,May
219,yogendra,"[28.0513305, 81.6024486]",Banke,dt,bk-dw-05,,,,27,6.0,1.3,4.43,,2021-06-02,,bk-dw-05,Jun
220,yogendra,"[28.0507597, 81.5861889]",Banke,sw,,bk-sw-28,,,55,7.0,0.85,5.6,,2021-06-02,,bk-sw-28,Jun
221,yogendra,"[28.111471, 81.5216667]",Banke,sw,,bk-sw-19_1,,,23,8.0,2.1,5.67,,2021-06-03,,bk-sw-19_1,Jun
222,yogendra,"[28.1132507, 81.5173521]",Banke,dt,bk-dw-04_1,,,,49,10.0,2.25,7.26,,2021-06-03,,bk-dw-04_1,Jun
223,yogendra,"[28.1224142, 81.5165706]",Banke,dt,bk-dw-03,,,,42,13.0,1.55,11.03,,2021-06-03,,bk-dw-03,Jun
224,yogendra,"[28.0960591, 81.5211446]",Banke,dt,bk-dw-02,,,,25,13.0,1.6,11.15,,2021-06-03,,bk-dw-02,Jun
225,yogendra,"[28.0818001, 81.5465758]",Banke,dt,bk-dw-01,,,,37,13.0,1.87,10.76,,2021-06-03,,bk-dw-01,Jun
226,yogendra,"[28.0812217, 81.6450477]",Banke,sw,,bk-sw-24_1,,,54,5.0,1.45,3.01,,2021-06-05,,bk-sw-24_1,Jun
227,yogendra,"[28.0928325, 81.6477812]",Banke,sw,,bk-sw-07_1,,,15,4.1,0.5,3.45,,2021-06-05,,bk-sw-07_1,Jun
228,yogendra,"[28.1317499, 81.6588235]",Banke,sw,,bk-sw-06_1,,,45,5.0,2.85,1.7,,2021-06-05,,bk-sw-06_1,Jun
229,yogendra,"[28.1961552, 81.7119906]",Banke,sw,,bk-sw-01,,,20,5.0,1.6,3.2,,2021-06-05,,bk-sw-01,Jun
230,yogendra,"[28.2064948, 81.6307426]",Banke,sw,,bk-sw-03,,,40,9.0,1.4,7.2,,2021-06-05,,bk-sw-03,Jun
231,yogendra,"[28.192112, 81.5747878]",Banke,sw,,bk-sw-05_1,,,29,5.0,1.6,3.11,,2021-06-05,,bk-sw-05_1,Jun
232,yogendra,"[28.1873063, 81.6300652]",Banke,sw,,bk-sw-04,,,65,5.0,2.44,1.91,,2021-06-05,,bk-sw-04,Jun
233,Anita,"[28.0851481, 81.5164416]",Bardiya,dt,,,,,25,13.0,1.0,11.75,bd-dw-01,2021-06-03,,,Jun
234,Anita,"[28.0828452, 81.5111836]",Bardiya,dt,,,,,24,11.0,1.0,9.76,bd-dw-04,2021-06-03,,,Jun
235,Anita,"[28.0883383, 81.5027308]",Bardiya,dt,,,,,20,13.0,1.0,11.8,bd-dw-03,2021-06-03,,,Jun
236,Anita,"[28.1054668, 81.4827798]",Bardiya,dt,,,,,10,12.0,1.8,10.1,bd-dw-02,2021-06-03,,,Jun
237,Anita,"[28.1487553, 81.4969459]",Bardiya,sw,,,,,40,6.0,1.0,4.6,,2021-06-07,bd-sw-18,,Jun
238,Anita,"[28.1463227, 81.4792319]",Bardiya,sw,,,,,30,8.0,2.0,5.7,,2021-06-07,bd-sw-19,,Jun
239,Anita,"[28.165612, 81.5008629]",Bardiya,sw,,,,,70,7.0,1.9,4.4,,2021-06-07,bd-sw-20,,Jun
240,Anita,"[28.1880287, 81.47992]",Bardiya,sw,,,,,40,5.0,1.0,3.6,,2021-06-07,bd-sw-03,,Jun
241,Anita,"[28.1896926, 81.3836599]",Bardiya,sw,,,,,30,6.0,1.0,4.7,,2021-06-07,bd-sw-05,,Jun
242,Anita,"[28.1691826, 81.3378217]",Bardiya,sw,,,,,40,5.0,1.0,3.6,,2021-06-07,bd-sw-06,,Jun
243,Anita,"[28.247492, 81.3080601]",Bardiya,sw,,,,,50,6.0,2.0,3.5,,2021-06-07,bd-sw-09,,Jun
244,Anita,"[28.2795966, 81.2629383]",Bardiya,sw,,,,,40,14.0,2.0,11.6,,2021-06-07,bd-sw-12,,Jun
245,Anita,"[28.3287566, 81.2715499]",Bardiya,sw,,,,,10,5.0,1.0,3.9,,2021-06-07,bd-sw-13,,Jun
246,Anita,"[28.2365263, 81.5477659]",Bardiya,sw,,,,,0,4.0,1.0,3,,2021-06-09,bd-sw-02,,Jun
247,Anita,"[28.2490923, 81.5849372]",Bardiya,sw,,,,,40,6.0,1.0,4.6,,2021-06-09,bd-sw-21,,Jun
248,Anita,"[28.2283599, 81.5671117]",Bardiya,sw,,,,,10,8.0,2.8,5.1,,2021-06-09,bd-sw-22,,Jun
249,Anita,"[28.2897996, 81.4420531]",Bardiya,sw,,,,,32,5.0,1.2,3.48,,2021-06-09,bd-sw-04,,Jun
250,Anita,"[28.3512265, 81.4297433]",Bardiya,sw,,,,,40,6.0,1.0,4.6,,2021-06-09,bd-sw-08,,Jun
251,Anita,"[28.3062446, 81.3597735]",Bardiya,sw,,,,,45,7.0,1.0,5.55,,2021-06-09,bd-sw-07,,Jun
252,Anita,"[28.306207, 81.3597747]",Bardiya,sw,,,,,75,6.0,2.0,3.25,,2021-06-09,bd-sw-11,,Jun
253,Anita,"[28.0731609, 81.55413]",Bardiya,sw,,,,,10,4.0,1.5,2.4,,2021-06-11,bd-sw-14,,Jun
254,Anita,"[28.0731963, 81.5542336]",Bardiya,sw,,,,,55,4.0,1.4,2.05,,2021-06-11,bd-sw-15,,Jun
255,Anita,"[28.0731317, 81.5541922]",Bardiya,sw,,,,,60,6.0,1.5,3.9,,2021-06-11,bd-sw-16,,Jun
256,yogendra,"[28.0242235, 81.6002958]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.2,5.3,,2021-06-22,,bk-sw-11_1,Jun
257,yogendra,"[28.0151419, 81.6543268]",Banke,sw,,bk-sw-09_1,,,60,5.0,2.22,2.18,,2021-06-22,,bk-sw-09_1,Jun
258,yogendra,"[28.05074, 81.5861809]",Banke,sw,,bk-sw-28,,,55,8.0,1.2,6.25,,2021-06-27,,bk-sw-28,Jun
259,yogendra,"[28.1115143, 81.5216446]",Banke,sw,,bk-sw-19_1,,,23,7.0,1.35,5.42,,2021-06-27,,bk-sw-19_1,Jun
260,yogendra,"[28.1132491, 81.5173495]",Banke,dt,bk-dw-04_1,,,,49,11.0,3.2,7.31,,2021-06-27,,bk-dw-04_1,Jun
261,yogendra,"[28.1222587, 81.5165325]",Banke,dt,bk-dw-03,,,,42,15.0,2.9,11.68,,2021-06-27,,bk-dw-03,Jun
262,yogendra,"[28.0960614, 81.5211525]",Banke,dt,bk-dw-02,,,,25,15.0,3.05,11.7,,2021-06-27,,bk-dw-02,Jun
263,yogendra,"[28.0818678, 81.5466472]",Banke,dt,bk-dw-01,,,,37,13.0,1.75,10.88,,2021-06-27,,bk-dw-01,Jun
264,yogendra,"[28.0780271, 81.5932833]",Banke,sw,,bk-sw-26,,,25,5.0,2.43,2.32,,2021-06-28,,bk-sw-26,Jun
265,yogendra,"[28.0830233, 81.5956242]",Banke,sw,,bk-sw-27,,,40,4.6,0.5,3.7,,2021-06-28,,bk-sw-27,Jun
266,yogendra,"[28.1060674, 81.5971464]",Banke,sw,,bk-sw-25_1,,,35,3.7,0.5,2.85,,2021-06-28,,bk-sw-25_1,Jun
267,yogendra,"[28.1287189, 81.589423]",Banke,sw,,bk-sw-17_1,,,15,5.0,2.33,2.52,,2021-06-28,,bk-sw-17_1,Jun
268,yogendra,"[28.1465206, 81.5520268]",Banke,sw,,bk-sw-18_1,,,27,5.0,2.2,2.53,,2021-06-28,,bk-sw-18_1,Jun
269,yogendra,"[28.1960406, 81.7117094]",Banke,sw,,bk-sw-01,,,20,5.0,2.52,2.28,,2021-06-29,,bk-sw-01,Jun
270,yogendra,"[28.2065304, 81.6307361]",Banke,sw,,bk-sw-03,,,40,10.0,2.7,6.9,,2021-06-29,,bk-sw-03,Jun
271,yogendra,"[28.1920662, 81.574819]",Banke,sw,,bk-sw-05_1,,,29,5.0,1.7,3.01,,2021-06-29,,bk-sw-05_1,Jun
272,yogendra,"[28.1873244, 81.6301051]",Banke,sw,,bk-sw-04,,,65,5.0,3.85,0.5,,2021-06-29,,bk-sw-04,Jun
273,yogendra,"[28.1317725, 81.6588471]",Banke,sw,,bk-sw-06_1,,,45,5.0,4.28,0.27,,2021-06-29,,bk-sw-06_1,Jun
274,Anita,"[28.0852523, 81.5163728]",Bardiya,dt,,,,,25,14.0,1.9,11.85,bd-dw-01,2021-07-06,,,Jul
275,Anita,"[28.0828789, 81.5111145]",Bardiya,dt,,,,,24,12.0,1.8,9.96,bd-dw-04,2021-07-06,,,Jul
276,Anita,"[28.0883557, 81.5027002]",Bardiya,dt,,,,,20,14.0,1.9,11.9,bd-dw-03,2021-07-06,,,Jul
277,Anita,"[28.1056001, 81.4828041]",Bardiya,dt,,,,,10,12.0,1.7,10.2,bd-dw-02,2021-07-06,,,Jul
278,Anita,"[28.1486814, 81.496827]",Bardiya,sw,,,,,40,7.0,1.8,4.8,,2021-07-08,bd-sw-18,,Jul
279,Anita,"[28.1462923, 81.4793364]",Bardiya,sw,,,,,30,8.0,1.8,5.9,,2021-07-08,bd-sw-19,,Jul
280,Anita,"[28.1658782, 81.5010353]",Bardiya,sw,,,,,0,7.0,1.7,5.3,,2021-07-08,bd-sw-17,,Jul
281,Anita,"[28.1880089, 81.4798633]",Bardiya,sw,,,,,40,6.0,1.8,3.8,,2021-07-08,bd-sw-03,,Jul
282,Anita,"[28.189708, 81.3836147]",Bardiya,sw,,,,,30,7.0,1.6,5.1,,2021-07-08,bd-sw-05,,Jul
283,Anita,"[28.1691568, 81.3378623]",Bardiya,sw,,,,,40,8.0,1.8,5.8,,2021-07-08,bd-sw-06,,Jul
284,Anita,"[28.2462785, 81.3065593]",Bardiya,sw,,,,,50,6.0,1.8,3.7,,2021-07-08,bd-sw-09,,Jul
285,Anita,"[28.2462792, 81.3065368]",Bardiya,sw,,,,,40,14.0,1.7,11.9,,2021-07-08,bd-sw-12,,Jul
286,Anita,"[28.2168546, 81.3130813]",Bardiya,sw,,,,,10,6.0,1.7,4.2,,2021-07-08,bd-sw-13,,Jul
287,Anita,"[28.2364799, 81.5477235]",Bardiya,sw,,,,,0,3.0,1.0,2,,2021-07-10,bd-sw-02,,Jul
288,Anita,"[28.2282736, 81.5671628]",Bardiya,sw,,,,,40,4.0,1.8,1.8,,2021-07-10,bd-sw-21,,Jul
289,Anita,"[28.2433795, 81.5760717]",Bardiya,sw,,,,,10,4.0,1.7,2.2,,2021-07-10,bd-sw-22,,Jul
290,Anita,"[28.2897982, 81.442027]",Bardiya,sw,,,,,32,5.0,1.6,3.08,,2021-07-10,bd-sw-04,,Jul
291,Anita,"[28.3008148, 81.4351818]",Bardiya,sw,,,,,40,5.0,2.0,2.6,,2021-07-10,bd-sw-08,,Jul
292,Anita,"[28.2462445, 81.5133919]",Bardiya,sw,,,,,45,7.0,2.0,4.55,,2021-07-10,bd-sw-07,,Jul
293,Anita,"[28.2165732, 81.4892173]",Bardiya,sw,,,,,60,5.0,1.8,2.6,,2021-07-10,bd-sw-10,,Jul
294,Anita,"[28.1973809, 81.4788891]",Bardiya,sw,,,,,75,5.0,1.6,2.65,,2021-07-10,bd-sw-11,,Jul
295,Anita,"[28.0726545, 81.555737]",Bardiya,sw,,,,,10,3.0,1.2,1.7,,2021-07-11,bd-sw-14,,Jul
296,Anita,"[28.0732531, 81.5542073]",Bardiya,sw,,,,,55,3.0,1.0,1.45,,2021-07-11,bd-sw-15,,Jul
297,Anita,"[28.0730452, 81.5543577]",Bardiya,sw,,,,,60,5.0,1.0,3.4,,2021-07-12,bd-sw-16,,Jul
298,Anita,"[28.3062454, 81.3597585]",Bardiya,sw,,,,,60,5.0,1.5,2.9,,2021-06-09,bd-sw-10,,Jun
