#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976219, SEN S/N: 20976219)","Temp, °C (LGR S/N: 20976219, SEN S/N: 20976219)","Water Level, meters (LGR S/N: 20976219)",Coupler Detached (LGR S/N: 20976219),Coupler Attached (LGR S/N: 20976219),Host Connected (LGR S/N: 20976219),End Of File (LGR S/N: 20976219)
1,2/9/2021 17:00,139.97,25.222,-2.56,Logged,,,
2,2/10/2021 5:00,140.005,25.222,-2.556,,,,
3,2/10/2021 17:00,139.969,25.125,-2.56,,,,
4,2/11/2021 5:00,140.005,25.125,-2.556,,,,
5,2/11/2021 17:00,139.366,25.125,-2.622,,,,
6,2/12/2021 5:00,139.898,25.125,-2.567,,,,
7,2/12/2021 14:33,,,,,Logged,,
8,2/12/2021 14:34,,,,,,Logged,Logged
