,Unnamed: 0,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month,S.No.,Well No.,Location,Longitude,Latitude,district
27,122,yogendra,"[28.0493765, 81.6617097]",Banke,sw,,bk-sw-08_1,,,36,8.0,1.5,6.14,,2021-04-01,,bk-sw-08_1,Apr,8,1-045/46(BK)8 ,Birta,81.6616258,28.0493274,Banke
28,160,yogendra,"[28.04937, 81.6616595]",Banke,sw,,bk-sw-08_1,,,36,8.0,1.2,6.44,,2021-04-22,,bk-sw-08_1,Apr,8,1-045/46(BK)8 ,Birta,81.6616258,28.0493274,Banke
29,211,yogendra,"[28.049366, 81.6617059]",Banke,sw,,bk-sw-08_1,,,36,8.0,1.4,6.24,,2021-05-30,,bk-sw-08_1,May,8,1-045/46(BK)8 ,Birta,81.6616258,28.0493274,Banke
30,5,yogendra,"[28.0928993, 81.6478289]",Banke,sw,,bk-sw-07_1,,,15,2.95,0.5,2.3,,2021-06-23,,bk-sw-07_1,Jun,7,1-045/46(BK)7 ,Bhujai,81.6478693,28.0928582,Banke
31,40,yogendra,"[28.0928582, 81.6478693]",Banke,sw,,bk-sw-07_1,,,15,4.15,0.5,3.5,,2021-02-03,,bk-sw-07_1,Feb,7,1-045/46(BK)7 ,Bhujai,81.6478693,28.0928582,Banke
32,99,yogendra,"[28.0928569, 81.6478714]",Banke,sw,,bk-sw-07_1,,,15,4.35,0.5,3.7,,2021-02-25,,bk-sw-07_1,Feb,7,1-045/46(BK)7 ,Bhujai,81.6478693,28.0928582,Banke
33,133,yogendra,"[28.0928489, 81.6478628]",Banke,sw,,bk-sw-07_1,,,15,4.95,0.5,4.3,,2021-04-04,,bk-sw-07_1,Apr,7,1-045/46(BK)7 ,Bhujai,81.6478693,28.0928582,Banke
34,178,yogendra,"[28.0928844, 81.6478464]",Banke,sw,,bk-sw-07_1,,,15,5.4,0.5,4.75,,2021-05-04,,bk-sw-07_1,May,7,1-045/46(BK)7 ,Bhujai,81.6478693,28.0928582,Banke
35,227,yogendra,"[28.0928325, 81.6477812]",Banke,sw,,bk-sw-07_1,,,15,4.1,0.5,3.45,,2021-06-05,,bk-sw-07_1,Jun,7,1-045/46(BK)7 ,Bhujai,81.6478693,28.0928582,Banke
36,6,yogendra,"[28.0812159, 81.6450163]",Banke,sw,,bk-sw-24_1,,,54,5.0,2.7,1.76,,2021-06-23,,bk-sw-24_1,Jun,24,NISP-STW/1 ,Office compound,81.6450643,28.0812224,Banke
