S.No.,Well No.,id,Location ,Longitude,Latitude
1,SP-1,,K Gaon,81.64501,28.08125
2,SP-6,,L Gaon,81.7982,28.14303
3,SP-9,,Gaughat,81.59326,28.07807
4,SP-13,,Gaughat,81.59556,28.08276
5,n.a.,,Shantipur,,
6,n.a.,,Tholodafe,,
7,n.a.,,Shantipur,,
8,n.a.,,Shantipur,,
