S.No.,Well No.,well_no,Location,Longitude,Latitude,district
1,SP-1,bk-dw-01,K Gaon,81.5466409,28.0818215,Banke
2,SP-6,bk-dw-02,L Gaon,81.5211363,28.0960436,Banke
3,SP-9,bk-dw-03,Gaughat,81.5165796,28.1223281,Banke
4,SP-13,bk-dw-04_1,Gaughat,81.5173035,28.1132361,Banke
5,bk-dw-05,bk-dw-05,Parspur,81.6024541,28.0513081,Banke
6,n.a.,bd-dw-01,Shantipur,81.5163616,28.085181,Bardiya
7,n.a.,bd-dw-03,Tholodafe,81.4825913,28.1055899,Bardiya
8,n.a.,bd-dw-02,Shantipur,81.502631,28.0883406,Bardiya
9,n.a.,bd-dw-04,Shantipur,81.5111708,28.0828531,Bardiya
