,serial number,Well number,well_no,longitude,latitude,location,Well type,remarks,year,month,value
1388,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Apr,2.56
1389,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Apr,3.31
1390,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Apr,NA
1391,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Apr,2.3
1392,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Apr,3.86
1393,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Apr,2.4
1394,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Apr,NA
1395,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Apr,1.82
1396,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Apr,2.94
1397,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Apr,4.83
1398,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Apr,3.19
1399,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Apr,2.2
1400,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Apr,3.6
1401,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,Apr,NA
1402,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,Apr,3.21
1403,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,Apr,NA
1404,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,Apr,3.2
1405,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,Apr,12.24
1406,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,Apr,11.14
1407,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,Apr,11.6
1408,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,Apr,11.05
1757,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,May,6.98
1758,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,May,NA
1759,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,May,3.16
1760,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,May,NA
1761,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,May,0.2
1762,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,May,NA
1763,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,May,2.6
1764,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,May,3.36
1765,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,May,NA
1766,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,May,2.35
1767,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,May,4.6
1768,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,May,2.5
1769,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,May,NA
1770,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,May,1.89
1771,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,May,2.98
1772,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,May,4.9
1773,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,May,3.25
1774,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,May,2.26
1775,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,May,3.64
1776,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,May,NA
1777,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,May,4.06
1778,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,May,NA
1779,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,May,3.59
1780,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,May,12.34
1781,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,May,11.14
1782,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,May,11.8
1783,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,May,11.05
2132,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Jun,5.9
2133,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Jun,NA
2134,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Jun,2.55
2135,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Jun,1.07
2136,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Jun,0.15
2137,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Jun,NA
2138,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Jun,1.6
2139,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Jun,2.66
2140,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Jun,NA
2141,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Jun,1.9
2142,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Jun,2.9
2143,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Jun,1.7
2144,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Jun,NA
2145,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Jun,1.35
2146,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Jun,2.2
2147,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Jun,3.7
2148,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Jun,2.18
2149,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Jun,2.9
2150,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Jun,3.55
2151,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,Jun,NA
2152,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,Jun,3.05
2153,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,Jun,NA
2154,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,Jun,2.5
2155,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,Jun,NA
2156,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,Jun,NA
2157,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,Jun,NA
2158,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,Jun,NA
2507,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Jul,5.81
2508,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Jul,NA
2509,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Jul,2.5
2510,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Jul,1
2511,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Jul,0.1
2512,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Jul,NA
2513,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Jul,1.54
2514,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Jul,2.62
2515,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Jul,NA
2516,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Jul,1.83
2517,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Jul,2.65
2518,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Jul,1.52
2519,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Jul,NA
2520,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Jul,1.27
2521,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Jul,2.13
2522,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Jul,3.61
2523,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Jul,2
2524,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Jul,1.79
2525,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Jul,3.48
2526,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,Jul,NA
2527,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,Jul,3
2528,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,Jul,NA
2529,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,Jul,2.42
2530,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,Jul,12.11
2531,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,Jul,12.04
2532,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,Jul,12.68
2533,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,Jul,10.85
2882,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Aug,3.2
2883,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Aug,NA
2884,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Aug,1.65
2885,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Aug,0.85
2886,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Aug,5
2887,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Aug,NA
2888,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Aug,0.95
2889,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Aug,2.45
2890,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Aug,NA
2891,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Aug,1.75
2892,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Aug,2.5
2893,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Aug,1.35
2894,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Aug,NA
2895,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Aug,1
2896,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Aug,1.49
2897,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Aug,3.25
2898,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Aug,2.95
2899,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Aug,1.36
2900,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Aug,2.2
2901,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,Aug,NA
2902,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,Aug,2.64
2903,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,Aug,NA
2904,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,Aug,2
2905,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,Aug,NA
2906,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,Aug,0.81
2907,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,Aug,0.25
2908,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,Aug,0.6
3257,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Sep,3.45
3258,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Sep,NA
3259,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Sep,1.7
3260,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Sep,0.95
3261,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Sep,6
3262,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Sep,NA
3263,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Sep,1
3264,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Sep,2.5
3265,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Sep,NA
3266,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Sep,1.82
3267,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Sep,2.6
3268,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Sep,1.7
3269,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Sep,NA
3270,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Sep,1.1
3271,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Sep,1.65
3272,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Sep,3.32
3273,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Sep,2.97
3274,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Sep,1.42
3275,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Sep,2.3
