,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,1,1-045/46(BK)1,Rohini Khola,,,2.45,2.35,2.55,2.6,3.25,3.45,2.25,0.95,1.25,1.55,2.05,2.15,,,,,
1,2,2-045/46(BK)2,Jabdhawa,563200,3125700,2.8,2.5,2.7,3,3.5,3.6,2.2,1.95,2.1,2.35,2.45,2.55,,,,,
2,3,3-045/46(BK)3,Banktuwa,561500,3120700,3.3,3.2,3.3,3.7,4.05,4.2,2.35,1.85,2,2.15,2.35,2.7,,,,,
3,4,4-045/46(BK)4,Channawa,561300,3119200,1.21,1.06,1.21,1.51,2.11,2.26,0.71,0.21,0.26,0.51,0.66,0.86,,,,,
4,5,5-045/46(BK)5,Thapawa,557300,3118750,1.81,1.16,1.26,1.36,1.56,1.81,0.91,0.26,0.31,0.41,0.56,0.66,,,,,
5,6,6-045/46(BK)6,Piprahwa,564800,3112800,2.7,3.05,3.55,4.05,4.55,4.65,2.15,1.65,1.9,2.25,2.6,2.96,,,,,
6,7,7-045/46(BK)7,Bhujai,562100,3107400,1.55,1.75,2.3,3,3.25,3.4,1.2,0.5,0.65,1,1.15,1.25,,,,,
7,8,8-045/46(BK)8,Birta,564900,3103000,3.79,4.19,4.39,4.59,4.89,5.09,2.89,2.39,2.49,2.79,3.09,3.29,,,,,
8,9,9-045/46(BK)9,Sikhanpurwa ,565600,3099200,2.2,2.4,2.85,3.3,3.85,4.1,1.7,1.35,1.45,1.65,1.9,2.05,,,,,
9,10,10-045/46(BK)10,Kharaicha,570750,3095900,1.7,2.75,2.85,3.05,3.25,3.45,2.05,1.15,1.25,1.4,1.55,1.7,,,,,
10,11,11-045/46(BK)11,Jaishpur,559100,3100800,3.05,2.9,3.15,3.3,3.55,3.95,3.35,1.55,1.65,1.9,2.1,2.3,,,,,
11,12,12-045/46(B/K)12,Bahartha,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
12,13,13-045/46(B/K)13,Materiya,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
13,14,14-045/46(B/K)14,Narainapur,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
14,15,15-045/46(B/K)15,Majharatiya,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
15,16,16-045/46(BK)16,Rajgarhwa,568400,3111800,4.7,5.25,5.45,5.55,5.75,5.85,1.75,2.25,2.35,2.7,2.95,3.3,,,,,
16,17,17-045/46(BK)17,D-gaon,560000,3114200,2.15,2.2,2.35,2.65,3.05,3.15,1.6,0.45,0.55,1,1.1,1.7,,,,,
17,18,18-045/46(BK)18,Kalhansgaon,554200,3113800,1.88,1.98,2.13,2.43,2.83,2.98,2.98,0.23,0.38,0.58,0.88,1.28,,,,,
18,19,19-045/46(BK)19,Gaughat,554600,3108800,3.32,3.57,3.72,4.12,4.92,5.17,3.02,2.07,2.17,2.42,2.42,2.92,,,,,
19,20,20-045/46(BK)20,Mahadevpuri,574200,3119750,+,+,+,+,+,+,+,+,+,+,+,+,Flowing,,,,
20,21,21-045/46(BK)21,Balapur,578900,3113800,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
21,22,22-045/46(B/K)22,Kachanapur,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,, 
22,23,23-045/46(B/K)23,Binauna,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
23,24,NISP-STW/1,Office compound,,,2.31,2.56,2.91,3.36,4.21,4.31,1.36,1.06,1.36,1.91,2.21,2.56,,,,,
24,25,NISP-INV-STW/8,Kajurakurda,,,1.98,2.08,2.23,2.68,3.13,3.18,1.68,1.18,1.28,1.48,1.73,1.88,,,,,
25,26,NISP-INV-STW/10,Banjaregaon,,,2,2.25,2.55,2.85,3.45,3.3,1.7,1.3,1.4,1.6,1.85,2,,,,,
26,27,NISP-INV-STW/11,Ramuwapur,,,2.2,2.6,2.85,3.1,3.4,3.5,1.2,0.5,0.7,1,1.2,1.4,,,,,
27,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,
30,,Well Observation Data,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,District : Banke,,,,,,,,,,,,,,,Year : 2010,,,,,,
34,,,  ,,,,,,Static Water Level Data ,,,,,,,,,,,,,
35,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks,,,,
36,,,DTW,,,,,,,,,,,,,,,,,,,
37,1,SP-1,K Gaon,,,11.28,11.33,11.48,11.73,12.13,12.28,10.88,10.28,10.18,10.28,10.38,10.48,,,,,
38,2,SP-6,L Gaon,,,11.65,11.9,12.3,12.1,12.2,12.3,11,11.05,10.9,11.05,11.2,11.3,,,,,
39,3,SP-9,Gaughat,,,11.03,11.13,11.28,11.43,11.53,11.73,11.03,10.98,10.83,10.98,11.13,11.28,,,,,
40,4,SP-13,Gaughat,,,10.06,10.11,10.26,10.41,10.66,10.76,10.01,9.86,9.66,9.86,10.16,10.26,,,,,
41,5,EXPT-7,Parspur,,,2.68,2.83,3.18,3.63,4.28,4.43,1.93,2.03,1.63,2.03,2.28,2.68,,,,,
