,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
0,1.0,1-045/46(BK)1,Rohini Khola,,,3.9,4,4.2,4.25,4.41,4.95,5,4.96,5.1,-,5.16,5.2,
1,2.0,1-045/46(BK)2,Jabdhawa,569500.0,3119130.0,4.2,-,-,-,-,-,-,-,-,-,-,-,Pump fitted
2,3.0,1-045/46(BK)3,Banktuwa,563125.0,3125750.0,2,2.1,2.6,2.66,2.75,3,3.15,3.13,3.2,-,3.23,3.3,
3,4.0,1-045/46(BK)4,Channawa,,,-,1.23,1.23,1.28,1.31,2.05,2.13,2.1,2.18,-,2.24,2.27,
4,5.0,1-045/46(BK)5,Thapawa,,,0,89,0.85,0.91,1,1.07,0.5,0.43,0.45,-,1.78,1.8,Flowing
5,6.0,1-045/46(BK)6,Piprahwa,,,-,-,-,-,-,-,-,-,-,-,-,-,
6,7.0,1-045/46(BK)7,Bhujai,,,1.16,2.06,2.28,2.31,3.83,4.1,0.44,0.42,0.49,-,1.2,1.26,
7,8.0,1-045/46(BK)8,Birta,557250.0,3118750.0,2.7,2.76,2.97,3,3.1,3.65,1.64,1.6,1.65,-,1.73,1.75,
8,9.0,1-045/46(BK)9,Sikhanpurwa ,564750.0,3102880.0,-,-,-,-,-,-,-,-,-,-,-,-,Could not open
9,10.0,1-045/46(BK)10,Kharaicha,565625.0,3099130.0,2.04,2.1,2.24,2.26,2.32,2.81,1.21,1,1.1,-,2.13,1.16,
10,11.0,1-045/46(BK)11,Jaishpur,570875.0,3096000.0,-,-,-,-,-,5.95,2.16,-,-,-,-,-,Could not open
11,12.0,1-045/46(BK)12,Bahartha,559100.0,3100800.0,2.1,2.15,2.2,2.26,2.31,2.93,1.26,1.2,1.26,-,1.94,1.97,
12,13.0,1-045/46(BK)13,Materiya,575250.0,3198880.0,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
13,14.0,1-045/46(BK)14,Narainapur,577625.0,3090250.0,1.3,1.92,1.45,1.51,1.6,2.1,2.21,2.1,2.19,-,2.42,2.45,
14,15.0,1-045/46(BK)15,Majharatriya,,,1.81,1.89,2,2.15,2.21,2.61,2.69,2.41,2.52,-,2.53,2.6,
15,16.0,1-045/46(BK)16,Rajgarhwa,,,3.4,3.65,3.82,3.87,3.9,4,2.1,2.24,2.3,-,2.55,2.59,
16,17.0,1-045/46(BK)17,D-gaon,,,3.1,3.18,3.16,3.19,3.21,3.56,2.56,2,2.15,-,2.5,2.53,
17,18.0,1-045/46(BK)18,Kalhansgaon,560000.0,,1.6,2.68,2.65,2.73,2.81,3.13,0.91,0.85,96,-,1.13,1.19,
18,19.0,1-045/46(BK)19,Gaughat,554250.0,,2.59,3.27,2.74,2.82,3,3.23,0.57,0.4,47,-,2.75,2.8,
19,20.0,1-045/46(BK)20,Mahadevpuri,554625.0,,-,-,-,-,-,-,-,-,0.5,-,-,-,Flowing
20,21.0,1-045/46(BK)21,Balapur,,,3.21,2.09,2.21,2.31,2.45,2.75,1.17,1,1.11,-,1.19,1.22,
21,22.0,1-045/46(BK)22,Kachanapur,578875.0,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
22,23.0,1-045/46(BK)23,Binauna,,,2.3,2.35,2.51,2.6,2.76,2.98,1.35,1.25,1.29,-,1.23,1.35,Pump fitted
23,24.0,,Office compound,582750.0,,-,-,-,-,-,-,-,-,-,-,3.02,3.04,
24,,NISP deep tubewells,,,,,,,,,,,,,,,,
25,,SP-1,K-gaon,,,12.28,14.28,14.29,14.28,14.39,9.62,9.75,9.75,9.91,,9.97,9.99,
26,,SP-6,L-gaon,,,11.09,11.16,11.18,11.2,11.28,8.7,8.72,8.68,8.75,,8.8,8.85,
27,,SP-9,Gaughat,,,11.47,11.51,11.51,11.55,11.57,11.53,11.55,11.51,11.64,,11.7,11.72,
28,,SP-13,Gaughat,,,10.71,10.78,10.79,10.83,10.86,7.73,7.75,7.71,7.73,,7.76,7.8,
29,,PXT-7,Paraspur,,,,,,,,,,1.66,1.73,,1.75,1.82,
