,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
0,1.0,1-045/46(BK)1,Rohini Khola,,,3.15,4.1,4.66,4.71,4.76,4.8,4.53,4.65,5.3,4.95,4.97,5.05,
1,2.0,1-045/46(BK)2,Jabdhawa,569500.0,3119130.0,-,-,-,-,-,-,-,-,-,-,-,-,Pump fitted
2,3.0,1-045/46(BK)3,Banktuwa,563125.0,3125750.0,1.84,2.25,1.9,0.75,0.81,3.63,1.75,1.8,2.77,2.8,2.75,2.85,
3,4.0,1-045/46(BK)4,Channawa,,,0.09,0.83,0.66,2.07,2.29,1.05,0.39,0.46,0.19,0.16,0.16,1.06,
4,5.0,1-045/46(BK)5,Thapawa,,,1.04,1.65,1.66,1.67,1.7,1.74,0.22,0.16,2.31,2.31,2.36,2.36,Flowing
5,6.0,1-045/46(BK)6,Piprahwa,,,-,-,-,-,-,-,-,-,-,-,-,3.3,
6,7.0,1-045/46(BK)7,Bhujai,,,-,-,-,-,-,-,-,-,-,-,-,-,
7,8.0,1-045/46(BK)8,Birta,557250.0,3118750.0,1.95,2.96,3.08,3.21,3.53,3.63,1.63,3.35,4.89,9.94,4.99,5.14,
8,9.0,1-045/46(BK)9,Sikhanpurwa ,564750.0,3102880.0,-,-,-,-,-,-,-,-,-,-,2.7,2.9,Could not open
9,10.0,1-045/46(BK)10,Kharaicha,565625.0,3099130.0,-,-,-,-,-,-,-,-,-,-,-,2.85,
10,11.0,1-045/46(BK)11,Jaishpur,570875.0,3096000.0,-,-,-,-,-,-,-,-,3.7,3.05,3.15,4.3,Could not open
11,12.0,1-045/46(BK)12,Bahartha,559100.0,3100800.0,1.64,1.88,1.71,1.74,1.83,1.89,0.73,0.78,0.78,-,-,-,
12,13.0,1-045/46(BK)13,Materiya,575250.0,3198880.0,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
13,14.0,1-045/46(BK)14,Narainapur,577625.0,3090250.0,0.87,1.09,1.01,1.06,1.13,1.22,0.47,0.56,-,-,-,-,
14,15.0,1-045/46(BK)15,Majharatriya,,,0.86,1.2,1,1.05,1.14,1.26,0.51,0.6,-,-,-,-,
15,16.0,1-045/46(BK)16,Rajgarhwa,,,2.5,4.65,4.9,2.73,5.13,5.19,2.7,2.75,5,5.05,5.07,5.15,
16,17.0,1-045/46(BK)17,D-gaon,,,2.06,2.6,2.8,2.09,3.28,3.35,1.7,1.75,2.05,2.1,2.05,2.2,
17,18.0,1-045/46(BK)18,Kalhansgaon,560000.0,,1.08,1.78,1.92,5.14,2.04,3.13,1.33,1.36,2.23,2.28,2.23,2.38,
18,19.0,1-045/46(BK)19,Gaughat,554250.0,,1.12,3.37,4.02,4.06,4.12,3.89,1.8,1.87,4.17,4.22,3.12,3.27,
19,20.0,1-045/46(BK)20,Mahadevpuri,554625.0,,-,-,-,-,-,-,-,-,-,-,-,-,Flowing
20,21.0,1-045/46(BK)21,Balapur,,,-,-,-,-,-,-,-,-,2.45,2.5,2.55,2.65,
21,22.0,1-045/46(BK)22,Kachanapur,578875.0,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
22,23.0,1-045/46(BK)23,Binauna,,,2.12,1.38,2.72,2.99,3.58,3.07,1.3,0.79,1.72,-,-,-,Pump fitted
23,24.0,,Office compound,582750.0,,2.06,2.81,2.66,2.93,3.52,3.01,1.24,2.06,1.66,1.86,1.81,2.36,
24,25.0,,Kajurakurda,,,-,-,-,-,-,-,-,-,-,1.83,1.88,1.98,
25,26.0,,Banjaregaon,,,-,-,-,-,-,-,-,-,-,1.95,2.1,2.3,
26,,,Banjaregaon,,,-,-,-,-,-,-,-,-,-,-,2.1,1.35,
27,,,DTW,,,,,,,,,,,,,,,
28,27.0,,K Gaon,,,9.62,10.83,10.58,10.56,10.59,10.63,8.73,8.63,11.33,11.48,11.03,11.18,
29,28.0,,L Gaon,,,8.6,11.41,11.29,11.29,11.32,11.36,8.89,8.8,11.35,11.5,11.35,11.5,
30,29.0,,Gaughat,,,10.24,,11.01,10.9,10.97,11.03,8.48,8.37,11.18,11.38,11.23,11.38,
31,30.0,,Gaughat,,,7.95,9.95,9.64,9.6,9.72,9.77,7.32,7.19,12.11,12.26,11.41,11.46,
32,31.0,,Parspur,,,1.4,1.5,0.23,1.78,2.18,3.34,2,1.76,2.94,3.18,2.93,2.83,
