,Unnamed: 0,Unnamed: 1,Unnamed: 2,   Jan.,   Feb.,   Mar.,  Apr.,  May,   Jun., Jul., Aug.,Sep.,Oct.,Nov.,Dec.,Remarks
36,Jaispur,559250.0,3101000.0,2.2,2.35,2.48,2.6,2.75,2.8,2.35,2.4,1.7,1.85,1.95,2.1,
37,Dhamboji,561250.0,3105500.0,3.05,3.2,3.3,3.45,3.55,3.5,3.3,2.1,2.3,2.45,2.55,2.65,
38,Dhanauli,555625.0,3111630.0,2.3,2.35,2.45,2.65,2.7,2.65,2.45,2.95,1.7,1.85,1.95,2.05,
39,Rajaina,553125.0,3113000.0,3.8,3.9,3.95,4.2,4.4,4.46,4.2,2.6,2.9,2.95,3,3.15,
40,Bhathawa,555000.0,3113380.0,2.65,2.8,2.95,3.15,3.25,3.4,3.7,-,2.3,2.35,2.4,2.45,
41,,,,,,,,,,,,,,,,
42,Rajgarhawa,568500.0,,-,-,-,-,-,-,-,-,-,-,-,-,
43,Di- Gaon,560000.0,,1.25,1.9,2.6,2.7,3.33,3.4,2.05,0.9,0.05,0.1,0.25,0.65,
44,Klahas - Gaon,554250.0,,1,1.17,1.55,1.65,2.12,3.3,1.6,0.85,0.03,0.05,0.16,0.37,
45,Gaughat,554625.0,,1.9,2.55,3.2,3.35,3.5,3.7,2.7,1.85,0.74,0.8,0.9,1.8,
46,Balapur,578875.0,,2.65,5.85,6.9,6.1,4.23,3.4,2.7,2.3,2.35,2.33,2.07,2.1,
47,Binaune,582750.0,,1.24,1.34,1.44,3.94,2.54,2.54,1.94,2.04,2.09,2.11,2.22,2.24,
