,Unnamed: 0,Unnamed: 1,Unnamed: 2,   Jan.,   Feb.,   Mar.,  Apr.,  May,   Jun., Jul., Aug.,Sep.,Oct.,Nov.,Dec.,Remarks
0,Rohini Kh.,569500.0,3119130.0,3.02,5.27,7.17,7.32,8.64,6.07,3.97,3.27,1.75,1.67,1.72,3.87,
1,Jabadhawa,563125.0,3125750.0,3.04,3.07,Blocked,-,-,-,-,filledup,blocked,-,-,-,
2,Thapawa,557250.0,3118750.0,-,-,-,-,-,-,-,-,-,-,-,-,
3,Piprahawa,570700.0,3095900.0,-,-,-,-,-,-,-,-,-,-,-,-,
4,Bhujai,562100.0,3107400.0,0.74,1.09,1.94,2.09,2.74,3.64,2.24,0.79,0.34,0.39,0.44,0.74,
5,Birta,564750.0,3102880.0,1.74,2.64,1.74,3.54,3.64,3.59,1.82,1.24,1.44,1.46,1.54,1.64,
6,Shikhanpurwa,565625.0,3099130.0,-,-,-,-,-,-,-,-,-,-,-,-,
7,Kharaicha,570875.0,3096000.0,1.3,1.45,1.6,2.25,2.3,2.2,1.7,1.25,1.25,1.28,1.24,1.45,
8,Jaispur,559100.0,3100800.0,1.26,1.35,1.5,1.75,2.2,2.25,1.8,1.2,1.15,1.18,1.2,1.23,
9,Baratha,575250.0,3198880.0,1.2,1.3,1.4,3.9,3.98,3.9,2.4,1.05,1.65,1.7,1.73,1.45,
10,Matehiya,577625.0,3090250.0,-,1.05,-,-,-,-,-,-,-,-,-,-,
11,Panditpurwa,582750.0,3087750.0,-,-,-,-,-,-,-,-,-,-,-,-,
12,Majharaitiya,589375.0,3084750.0,1.5,-,1.26,2.5,2.55,2.5,1.75,1.2,1.15,1.13,1.15,1.2,
13,,,,,,,,,,,,,,,,
14,Godhaina,553000.0,3116380.0,2.75,2.9,4,4.1,4.2,4.3,4,3.1,2.95,3.05,3.08,3.2,
15,Jee- Gaon,558750.0,3119630.0,2.8,2.9,3,3.15,3.3,3.4,3.1,2.65,2.45,2.55,2.6,2.7,
16,Mahadewa,563000.0,3119630.0,2.49,2.59,2.69,2.79,2.89,3.04,2.74,2.24,2.14,2.24,2.34,2.39,
17,Kohalpur,567250.0,3118500.0,3.2,3.3,3.45,3.55,3.6,3.55,3.25,2.7,2.35,2.55,2.6,2.75,
18,Kopasi,562760.0,,3.66,3.76,3.91,4.06,4.16,4.26,3.86,3.46,3.31,3.46,3.56,3.66,
19,Bakaspur,561625.0,,3.2,3.35,3.55,3.7,3.8,3.95,3.7,2.8,2.55,2.7,2.85,2.96,
20,Gijara,560250.0,,2.55,2.65,2.85,3.1,3.2,3.4,2.9,2.15,1.95,2.1,2.15,2.3,
21,Khajura,558250.0,,3.35,3.4,3.45,3.55,3.65,3.7,3.6,2.85,2.65,2.8,2.85,2.95,
22,Manpur,560125.0,,2.7,2.8,2.85,3,3.15,3.25,3.1,2.65,2.6,2.7,2.75,2.85,
23,Bhatanpur,565500.0,,2.03,2.08,2.18,2.43,2.53,2.68,2.38,1.63,1.53,1.58,1.68,1.83,
24,Ranjha,563125.0,,2.8,2.9,3.75,3.25,3.35,3.4,3,2.4,2.3,2.4,2.4,2.55,
25,Piprahawa,561375.0,,2.91,3.16,3.21,3.31,3.41,3.46,2.91,2.56,2.46,2.61,2.66,2.76,
26,Nepalganj,561250.0,,2.65,2.75,3.86,3.95,4.05,4.05,3.8,3.05,3,3.15,3.25,3.45,
27,,,,,,,,,,,,,,,,
28,Phutakra,563250.0,3104880.0,2.36,2.41,2.51,2.66,2.75,2.81,2.31,1.18,1.61,1.76,1.81,2.01,
29,Puraina,565000.0,3104880.0,2.13,2.23,2.28,2.43,2.48,2.38,1.83,1.9,0.83,0.98,1,1.08,
30,Shahpurwa,566250.0,3105000.0,2.45,2.55,2.75,2.85,2.9,2.9,2.6,2.2,1.85,1.9,2,2.1,
31,Shi- nagar,566625.0,3103380.0,2.2,2.35,2.5,2.7,2.85,2.9,2.7,2.8,2.15,2.25,2.3,2.35,
32,Halbaldoli,569125.0,3102130.0,3.3,3.45,3.55,3.7,3.75,3.8,3.3,1.95,2.4,2.45,2.55,2.6,
33,Japharpur,559625.0,3101130.0,1.95,2.2,2.35,2.45,2.6,2.75,2.45,2.15,1.85,1.95,2,2.25,
34,Birta,564375.0,3103000.0,2.3,2.35,2.5,2.6,2.8,2.85,2.6,2.18,1.95,2.1,2.2,2.4,
35,Udaypur,564250.0,3101000.0,2.18,2.33,2.48,2.63,2.73,2.83,2.68,1.9,2.13,2.18,2.33,2.56,
