,Unnamed: 0,Unnamed: 1,Unnamed: 2,   Jan.,   Feb.,   Mar.,  Apr.,  May,   Jun., Jul., Aug.,Sep.,Oct.,Nov.,Dec.,Remarks
0,Rohini Kh.,569500.0,3119130.0,3.32,3.47,4.07,5.37,6.42,6.57,4.07,3.27,3.02,2.68,2.82,2.07,
1,Jabadhawa,563125.0,3125750.0,3.07,3.12,3.17,3.32,3.42,3.45,2.97,1.77,1.77,1.82,1.87,1.92,
2,Thapawa,557250.0,3118750.0,1.15,1.25,1.55,1.67,1.75,1.85,1.65,0.65,0.35,,,,
3,Piprahawa,570700.0,3095900.0,0.7,0.9,1.2,1.4,1.6,1.75,1.5,0.95,0.6,,,,
4,Bhujai,562100.0,3107400.0,0.91,1.64,1.72,1.79,1.94,1.97,1.54,0.34,0.14,0.31,0.34,0.37,
5,Birta,564750.0,3102880.0,2.69,2.76,2.82,2.89,3.04,3.09,2.79,0.89,0.64,0.8,0.83,0.93,
6,Shikhanpurwa,565625.0,3099130.0,,,,,,,,,,,,,
7,Kharaicha,570875.0,3096000.0,2.15,2.2,2.35,2.45,2.55,2.6,2.3,1.2,0.8,1.07,1.05,1.19,
8,Jaispur,559100.0,3100800.0,,,,,,,,,,1.18,1.21,1.26,
9,Baratha,575250.0,3198880.0,1.75,1.83,1.98,2.1,2.2,3.3,3.2,1.4,0.8,0.85,0.9,0.95,
10,Matehiya,577625.0,3090250.0,1.35,,,,,,,,,,,,
11,Panditpurwa,582750.0,3087750.0,,,,,,,,,,,,,
12,Majharaitiya,589375.0,3084750.0,,135.0,1.45,1.6,1.8,1.95,1.85,1.1,0.75,0.8,0.85,0.9,
13,Di gaon,,,0.45,1.55,1.6,1.7,1.8,1.9,1.75,0.9,0.65,0.12,0.23,0.25,
14,Klahas-gaon,,,0.55,1.5,1.55,1.7,,1.85,1.75,0.85,0.55,0.19,0.23,0.38,
15,Gaughat,,,1.05,2.1,2.25,3.75,4.7,2.75,1.65,1.1,0.7,1.11,1.21,1.26,
16,Balapur,,,2.85,2.92,3.0,3.5,3.45,3.6,3.2,1.8,1.2,1.85,1.82,1.87,
17,Binawa,,,3.49,3.54,3.51,3.74,,3.94,3.69,2.09,0.89,0.94,1.04,1.02,
18,Phutakra,563250.0,3104880.0,3.86,3.96,4.06,4.21,4.36,4.46,4.06,2.81,2.11,2.16,2.26,2.31,
19,Puraina,565000.0,3104880.0,3.48,3.63,3.78,3.88,3.98,4.03,3.7,1.93,1.68,1.78,1.93,2.48,
20,Shahpurwa,566250.0,3105000.0,3.55,3.75,3.9,3.95,4.0,4.05,3.05,2.4,2.05,2.15,2.2,2.25,
21,Shi- nagar,566625.0,3103380.0,3.0,3.1,3.35,3.5,3.65,3.75,3.55,2.0,1.65,1.8,1.95,2.05,
22,Halbaldoli,569125.0,3102130.0,4.05,4.25,4.45,4.55,3.75,4.85,4.4,3.5,2.7,2.8,3.05,3.1,
23,Japharpur,559625.0,3101130.0,2.95,3.05,3.2,3.35,3.5,3.6,2.45,1.8,1.45,1.55,1.65,1.8,
24,Birta,564375.0,3103000.0,3.6,3.7,3.85,3.9,4.0,4.05,3.0,2.85,2.05,2.1,2.13,2.15,
25,Udaypur,564250.0,3101000.0,3.18,3.33,3.48,3.63,3.78,3.83,3.5,2.18,1.78,1.88,1.93,1.98,
26,Jaispur,559250.0,3101000.0,3.8,3.95,4.06,4.15,4.35,4.4,4.0,3.35,1.7,1.8,1.95,,
27,Dhamboji,561250.0,3105500.0,3.9,4.0,4.15,4.3,4.45,4.55,4.2,3.05,2.5,2.7,2.85,2.9,
28,Dhanauli,555625.0,3111630.0,3.3,3.45,3.6,3.75,3.8,3.85,3.6,2.45,1.9,1.95,2.0,2.1,
29,Rajaina,553125.0,3113000.0,4.5,4.5,4.8,5.05,5.15,5.2,5.0,3.9,3.5,3.55,3.6,3.65,
30,Bhathawa,555000.0,3113380.0,3.2,3.35,3.45,3.65,3.85,3.9,3.7,2.55,2.35,2.4,2.55,2.6,
31,Godhaina,553000.0,3116380.0,3.45,3.7,3.8,3.85,4.0,4.1,3.05,2.55,3.3,2.35,2.47,2.6,
32,Jee- Gaon,558750.0,3119630.0,3.75,3.85,4.0,4.1,4.2,4.25,3.05,3.0,2.45,2.55,2.6,2.65,
33,Mahadewa,563000.0,3119630.0,3.64,3.89,3.99,4.14,4.34,4.39,4.14,2.74,2.14,2.19,2.29,2.34,
34,Kohalpur,567250.0,3118500.0,4.35,4.55,4.65,4.75,4.85,5.05,4.5,3.4,2.8,2.9,3.05,3.15,
35,Kopasi,562760.0,,3.81,3.86,4.01,4.21,4.41,4.45,3.96,4.21,3.31,3.36,3.41,3.51,
36,Bakaspur,561625.0,,4.25,4.3,4.4,4.55,4.65,4.7,3.2,3.35,2.8,2.88,,3.05,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,2.25,,,,,,,,,,
40,,,,,,3.0,,,,,,,,,,
41,,,,,,3.51,,,,,,,,,,
42,,,,,,4.06,,,,,,,,,,
43,,,,,,3.78,,,,,,,,,,
44,,,,,,3.9,,,,,,,,,,
