,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
0,1,1-045/46(BK)1,Rohini Khola,,,5.1,4.7,4.9,5.05,5.35,5.55,5.15,4.45,4.35,2.05,2.65,3.1,
1,2,1-045/46(BK)2,Jabdhawa,563125,3125700,-,-,-,-,-,-,-,-,-,-,-,,Damaged
2,3,1-045/46(BK)3,Banktuwa,561500,3120700,2.95,2.55,2.75,3.1,3.3,3.45,3.2,2.35,2.05,2.05,2.5,3.15,
3,4,1-045/46(BK)4,Channawa,,,0.81,0.76,0.96,1.66,1.96,2.16,2.15,1.21,0.81,0.16,0.31,0.95,
4,5,1-045/46(BK)5,Thapawa,,,2.56,2.26,2.46,2.96,3.26,3.46,3.1,2.31,2.26,1.81,2.01,2.45,
5,6,1-045/46(BK)6,Piprahwa,564800,3112800,3.45,3.4,3.6,4,4.2,4.6,2.55,2.15,2,1.7,2.15,2.55,
6,7,1-045/46(BK)7,Bhujai,562100,3107400,-,-,-,-,-,-,-,-,-,-,-,,Damaged
7,8,1-045/46(BK)8,Birta,564900,3103000,5.19,5.54,5.59,5.74,5.89,6.09,5.3,3.74,3.54,2.89,3.54,4.1,
8,9,1-045/46(BK)9,Sikhanpurwa ,565600,3099200,3,3.1,3.3,4.05,4.25,4.45,2.6,2.05,1.9,1.6,2,2.45,
9,10,1-045/46(BK)10,Kharaicha,570750,3095900,3.2,3,3.2,3.5,3.7,3.9,2.55,1.85,1.7,1.35,1.8,2.4,
10,11,1-045/46(BK)11,Jaishpur,,,4.4,4.7,4.95,5.05,5.3,5.5,3.3,2.65,2.55,1.95,2.25,2.75,
11,12,1-045/46(BK)12,Bahartha,,,-,-,-,-,-,-,-,-,-,-,-,,
12,13,1-045/46(BK)13,Matehiya,577700,3090200,-,-,-,-,-,-,-,-,-,-,-,,Damaged
13,14,1-045/46(BK)14,Narayanpur,582700,3087800,-,-,-,-,-,-,-,-,-,-,-,,
14,15,1-045/46(BK)15,Majharatriya,,,-,-,-,-,-,-,-,-,-,-,-,,
15,16,1-045/46(BK)16,Rajgarhwa,568400,3111800,5.25,5.45,5.5,5.7,5.85,6.1,4.85,4.05,3.95,3.85,3.95,4.45,
16,17,1-045/46(BK)17,D-gaon,560000,3114200,2.3,2.7,2.95,3.7,3.95,4,3.25,2.35,2.3,1.65,1.6,1.95,
17,18,1-045/46(BK)18,Kalhansgaon,554200,3113800,2.33,2.08,2.28,3.53,3.88,3.98,3.3,2.28,2.13,1.63,1.23,1.85,
18,19,1-045/46(BK)19,Gaughat,554600,3108800,3.32,4.02,4.17,4.37,4.57,4.87,4.25,3.07,2.92,2.57,3.17,3.55,
19,20,1-045/46(BK)20,Mahadevpuri,,,-,-,-,-,-,-,-,-,-,-,-,,Flowing
20,21,1-045/46(BK)21,Balapur,578900,3113800,2.7,2.6,3.65,3.3,3.5,3.95,3.35,2.3,2.15,2.05,2.3,3.25,
21,22,1-045/46(BK)22,Kachanapur,586000,3105200,-,-,-,-,-,-,-,-,-,-,-,,Damaged
22,23,1-045/46(BK)23,Binauna,582500,3104200,,-,-,-,-,-,-,-,-,-,-,,
23,24,NISP/STW 1,Office compound,,,2.96,2.56,3.3,3.56,3.91,4.26,2.5,1.56,1.56,1.41,1.86,2.7,
24,25,NISP/INV/STW 8,Kajurakurda,,,2.08,-,-,2.73,2.93,3.13,3.25,1.78,1.73,1.33,1.63,2.2,
25,26,NISP/INV/STW 10,Banjaregaon,,,2.4,2.3,2.75,2.9,3.3,3.25,3.15,2.2,2,1.85,1.85,2.3,
26,27,NISP/INV/STW 11,Ramapurwa,,,1.6,1.55,3.1,2.2,2.5,2.35,3.2,1.1,0.95,0.9,1.25,2.25,
27,,,,,,,,,,,,,,,,,,
28,Well Observation Data,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,District : Banke,,,,,,,,,,,,,,,Year : 2005,,
31,,,,,,Static Water Level Data ,,,,,,,,,,,,
32,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
33,,,DTW,,,,,,,,,,,,,,,
34,28,SP-1,K Gaon,,,11.28,9.83,11.13,12.33,12.23,12.33,11.53,11.13,10.93,10.73,11.73,12.25,
35,29,SP-6,L Gaon,,,11.6,10.85,12.35,11.65,11.35,12.35,11.35,11.5,11.25,10.9,11.65,12.1,
36,30,SP-9,Gaughat,,,11.53,10.38,10.68,10.98,10.88,12.18,11.03,11.08,10.83,10.78,10.83,11.35,
37,31,SP-13,Gaughat,,,12.01,10.01,12.01,10.21,10.01,10.81,11.16,10.01,9.86,9.61,10.71,11.45,
38,32,EXPT-7,Parspur,,,2.88,2.88,3.08,4.03,4.28,4.43,3.63,2.08,1.78,1.43,2.08,2.8,
