,Unnamed: 0,UN Shallow Tubewells,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,1,Rohini Khola.,569500,3119130,5.2,4.1,4.4,8.38,8.44,2.31,2.21,1.8,1.82,1.88,1.4,3.3,
1,2,Jabadhawa,563200,3125700,-,-,-,-,-,-,-,-,-,-,-,-,Pump fitted
2,3,Banktuwa,561500,3120700,3.35,3.55,3.56,3.59,3.65,1.16,1.08,0.81,0.83,0.93,1,2.2,
3,4,Channawa,561300,3119200,2.3,2.32,2.32,2.36,2.42,1.1,1.06,0.69,0.7,0.25,0.31,0.5,
4,5,Thapawa,557300,3118750,1.81,1.09,1.09,1.16,1.19,0.2,0.18,0.1,0.12,0.14,0.2,1.28,
5,6,Piprahawa,564800,3112800,-,-,-,-,-,-,-,-,-,-,-,-,Could not open
6,7,Bhujai,562100,3107400,1.29,1.33,-,-,-,-,-,-,-,-,-,-,Damaged
7,8,Birta,564900,3103000,1.79,2.79,-,3.45,3.49,1,0.95,0.58,0.61,0.63,0.71,2.36,
8,9,Shikhanpurwa,565600,3099200,-,-,-,-,-,-,-,-,-,-,-,-,Could not open
9,10,Kharaicha,570750,3095900,2,2.2,-,-,-,-,-,-,-,-,-,-,Damaged
10,11,Jaispur,559100,3100800,-,-,-,-,-,-,-,-,-,-,-,-,Could not open
11,12,Bahartha,,,2,2.05,2.51,2.6,2.65,1.21,1.15,0.86,0.88,0.91,1,1.82,
12,13,Materiya,577700,3090200,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
13,14,Narainapur,582700,3087850,2.48,2.53,2.54,2.57,2.63,0.5,0.48,0.3,0.35,0.35,0.41,1,
14,15,Majharaitiya,,,2.66,2.71,2.72,2.75,2.8,1.03,1,0.82,0.9,0.86,0.95,1.13,
15,16,Rajgarhwa,568400,3111800,2.67,2.7,5.45,5.48,5.51,2.26,2.18,1.5,1.56,1.6,1.65,2.81,
16,17,D- Gaon,560000,3114200,2.56,3,3.65,3.69,3.73,1.45,1.38,1,1.03,1.1,1.18,2.2,
17,18,Klahas - Gaon,554250,554200,1.24,1.43,1.78,1.81,1.87,1,0.93,0.78,0.81,0.81,0.87,1.53,
18,19,Gaughat,554600,3108800,2.9,3.64,4.02,4.1,4.15,2.05,2,-,1.48,1.51,1.6,1.3,
19,20,Mahadevpuri,574200,3119750,-,-,-,-,-,-,-,-,-,-,-,-,Flowing
20,21,Balapur,578900,3113800,2.25,3.36,-,-,-,-,-,-,-,-,-,-,Damaged
21,22,Kachanapur,586000,3105200,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
22,23,Binauna,582500,3104200,1.39,1.43,14.35,3.65,3.69,1.15,1.1,0.56,0,0.61,0.66,1.25,Pump fitted
23,24,Office Compound,561500,3103700,3.05,3.1,3.14,3.73,3.77,1.14,1.1,1.16,0.66,1.21,1.3,2.51,
24,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,
26,WELL OBSERVATION RECORD,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,
28,District:- Banke ,,,,,,,,,,,,,,,Year : 2003,
29,,Location,X,Y,Static Water Level Data,,,,,,,,,,,,
30,,,,,   Jan.,   Feb.,   Mar.,  Apr.,  May,   Jun., Jul., Aug.,Sep.,Oct.,Nov.,Dec.,Remarks
31,,NISP DTWs,,,,,,,,,,,,,,,
32,1,K-gaon,,,10,10.54,10.56,10.62,10.64,9.53,9.5,9.45,9.45,9.52,9..56,9.6,
33,2,L-gaon,,,8.87,10.52,10.53,10.58,10.61,8.7,8.44,8.4,8.4,8.49,8.53,8.58,
34,3,Gaughat,,,11.75,11.8,11.85,11.89,11.92,10.16,10.1,10.04,10.04,10.1,10.12,10.19,
35,4,Gaughat,,,11.83,11.83,11.83,11.86,11.89,1.24,7.83,7.75,7.75,7.81,7.86,7.91,
36,5,Parspur,,,1.86,1.9,1.9,4.09,4.15,4.15,1.18,1.1,1.1,1.1,1.15,1.29,
37,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,
44,WELL OBSERVATION RECORD,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,
46,District:- Udayapur ,,,,,,,,,,,,,,,Year : 2003,
47,S.No.,Location,X,Y,Static Water Level Data,,,,,,,,,,,,
48,,,,,   Jan.,   Feb.,   Mar.,  Apr.,  May,   Jun., Jul., Aug.,Sep.,Oct.,Nov.,Dec.,Remarks
49,,UN STWS,,,,,,,,,,,,,,,
50,1,Deuri,,,6.9,6.35,6.42,6.48,6.53,6.4,5.95,5,4.9,4.95,5,5.25,
51,2,Bokse,,,,,,,,,,,,,,,Filled up
52,5,Hadiya,,,4.82,4.65,,5,5.05,4.6,3.88,3.2,2.8,2.9,3.02,3.24,
53,,DW,,,,,,,,,,,,,,,
54,3,Portaha,,,,,,,5.43,5.22,4.68,3.5,3.3,3.42,3.52,3.94,
55,4,Jogidaha,,,,,,,3.96,3.56,3.28,2.56,2.08,2.26,2.31,2.88,
