SN,Well No.,STWs,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks,Well No.,Location 
1,SP-1,K Gaon,11.38,11.43,11.73,11.98,12.13,12.28,11.18,10.78,10.88,10.98,11.08,11.18,,SP-1,K Gaon
2,SP-6,L Gaon,11.35,11.4,11.55,11.9,12,12.1,11,9.95,10.05,10.15,10.2,10.25,,SP-6,L Gaon
3,SP-9,Gaughat,11.38,11.48,11.73,11.98,12.13,12.28,11.08,10.68,10.78,10.88,10.98,11.18,,SP-9,Gaughat
4,SP-13,Gaughat,10.26,10.31,10.61,10.81,10.91,11.01,9.96,9.66,9.76,9.91,10.01,10.06,,SP-13,Gaughat
5,EXPT-7,Parspur,2.83,2.93,3.13,3.43,4.03,4.88,2.68,0.93,1.03,1.33,1.43,2.03,,EXPT-7,Parspur
